sample_id	in_paper_or_only_decontamination	ntc_check	decontamination_batch	dataset	dilution_series	dilution_detail
sample114	paper	-	batch_4	dataset_7	d0	dataset_7-raw
sample115	paper	-	batch_4	dataset_7	d1	dataset_7-1/1000
sample116	paper	-	batch_4	dataset_7	d2	dataset_7-1/2000
sample117	paper	-	batch_4	dataset_7	d3	dataset_7-1/4000
sample118	paper	-	batch_4	dataset_7	d4	dataset_7-1/8000
sample119	paper	-	batch_4	dataset_7	d5	dataset_7-1/16000
sample120	paper	-	batch_4	dataset_7	d6	dataset_7-1/32000
sample121	paper	-	batch_4	dataset_7	d7	dataset_7-1/64000
sample122	paper	ntc	batch_4	dataset_6, dataset_7	-	-
sample123	only_decontam	-	batch_5	-	-	-
sample124	only_decontam	-	batch_5	-	-	-
sample125	only_decontam	-	batch_5	-	-	-
sample126	only_decontam	-	batch_5	-	-	-
sample127	only_decontam	-	batch_5	-	-	-
sample128	only_decontam	-	batch_5	-	-	-
sample129	only_decontam	-	batch_5	-	-	-
sample130	only_decontam	-	batch_5	-	-	-
sample131	paper	-	batch_5	dataset_8	d0	dataset_8-raw
sample132	paper	-	batch_5	dataset_8	d1	dataset_8-1/1000
sample133	paper	-	batch_5	dataset_8	d2	dataset_8-1/2000
sample134	paper	-	batch_5	dataset_8	d3	dataset_8-1/4000
sample135	paper	-	batch_5	dataset_8	d4	dataset_8-1/8000
sample136	paper	-	batch_5	dataset_8	d5	dataset_8-1/16000
sample137	paper	-	batch_5	dataset_8	d6	dataset_8-1/32000
sample138	paper	-	batch_5	dataset_8	d7	dataset_8-1/64000
sample139	paper	-	batch_5	dataset_9	d0	dataset_9-raw
sample140	paper	-	batch_5	dataset_9	d1	dataset_9-1/1000
sample141	paper	-	batch_5	dataset_9	d2	dataset_9-1/2000
sample142	paper	-	batch_5	dataset_9	d3	dataset_9-1/4000
sample143	paper	-	batch_5	dataset_9	d4	dataset_9-1/8000
sample144	paper	-	batch_5	dataset_9	d5	dataset_9-1/16000
sample145	paper	-	batch_5	dataset_9	d6	dataset_9-1/32000
sample146	paper	-	batch_5	dataset_9	d7	dataset_9-1/64000
sample147	paper	ntc	batch_5	dataset_8, dataset_9	-	-
sample148	only_decontam	-	batch_6	-	-	-
sample149	only_decontam	-	batch_6	-	-	-
sample150	only_decontam	-	batch_6	-	-	-
sample151	only_decontam	-	batch_6	-	-	-
sample152	only_decontam	-	batch_6	-	-	-
sample153	only_decontam	-	batch_6	-	-	-
sample154	only_decontam	-	batch_6	-	-	-
sample155	only_decontam	-	batch_6	-	-	-
sample156	only_decontam	-	batch_6	-	-	-
sample157	only_decontam	-	batch_6	-	-	-
sample158	only_decontam	-	batch_6	-	-	-
sample159	only_decontam	-	batch_6	-	-	-
sample160	only_decontam	-	batch_6	-	-	-
sample161	only_decontam	-	batch_6	-	-	-
sample162	only_decontam	-	batch_6	-	-	-
sample163	only_decontam	-	batch_6	-	-	-
