asv_id	Taxon	Confidence
d114fb4c335125128be28401522dd41a	k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Lactococcus;s_	0.99999999278626
aa9b3a1418d146c262ec63305292065a	k_Bacteria;p_Actinobacteria;c_Actinomycetia;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_tuberculostearicum	0.989700536471065
0ede181cba719902c5e1fa933644b97e	k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Leuconostoc;s_	0.999996400350893
ddfd49f939f92958b1ec816741055348	k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia;s_pickettii	0.962025393494824
4850a238b7fbbd5ffa204c5a5a396f2c	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Hafniaceae;g_;s_	0.964834099689431
e5c19d7800b18015f3a917fc015fc42f	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Moraxella;s_osloensis	0.999999998892108
820f6693f569e339f183638cd73a7fe6	k_Bacteria;p_Actinobacteria;c_Actinomycetia;o_Corynebacteriales;f_Lawsonellaceae;g_Lawsonella;s_clevelandensis	0.99999985524725
b9fcd7d71b74853248517b892d03a745	k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium;s_	0.999999998428364
410a1a55ad49a0b1059d6edefd74087e	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_intermedia	0.826162378842479
62727dc7f1b9c5878de3da94b2977f05	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Hyphomicrobiales;f_Brucellaceae;g_Brucella;s_	0.999804748949814
04d9e9a25a165e1ae821127c7930d209	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_;f_;g_;s_	0.722523865809443
