taxa	d0_in	d0_5_up
G_Streptomyces	FALSE	FALSE
S_Alkalihalobacillus_krulwichiae	FALSE	FALSE
S_Acetobacteroides_hydrogenigenes	FALSE	FALSE
G_Gemella	FALSE	FALSE
S_Kaistella_palustris	FALSE	FALSE
G_Actinomyces	FALSE	FALSE
G_Devosia	FALSE	FALSE
S_Sphingobacterium_mizutaii	FALSE	FALSE
G_Pseudochrobactrum	FALSE	FALSE
S_Luteolibacter_gellanilyticus	FALSE	FALSE
S_Ligilactobacillus_salivarius	FALSE	FALSE
F_Oxalobacteraceae	FALSE	FALSE
S_Prevotella_intermedia	FALSE	FALSE
G_Hyphomicrobium	FALSE	FALSE
S_Peredibacter_starrii	FALSE	FALSE
S_Pedobacter_africanus	FALSE	FALSE
S_Sphingobium_xenophagum	FALSE	FALSE
G_Chryseobacterium	FALSE	FALSE
G_Providencia	FALSE	FALSE
S_Pedobacter_frigoris	FALSE	FALSE
G_Brucella	FALSE	FALSE
S_Algoriella_xinjiangensis	FALSE	FALSE
S_Hydrogenophilus_thermoluteolus	FALSE	FALSE
S_Veillonella_parvula	FALSE	FALSE
S_Aggregatibacter_aphrophilus	FALSE	FALSE
G_Priestia	FALSE	FALSE
S_Phocaeicola_coprocola	FALSE	FALSE
G_Alcaligenes	FALSE	FALSE
S_Leuconostoc_gelidum	FALSE	FALSE
G_Alkalihalobacillus	FALSE	FALSE
S_Brevundimonas_intermedia	FALSE	FALSE
S_Devosia_yakushimensis	FALSE	FALSE
S_Constrictibacter_antarcticus	FALSE	FALSE
G_Actinomycetospora	FALSE	FALSE
S_Acinetobacter_septicus	FALSE	FALSE
G_Microvirgula	FALSE	FALSE
S_Comamonas_testosteroni	FALSE	FALSE
S_Enterococcus_sulfureus	FALSE	FALSE
S_Blautia_luti	FALSE	FALSE
G_Dietzia	FALSE	FALSE
S_Pseudomethylobacillus_aquaticus	FALSE	FALSE
S_Nubsella_zeaxanthinifaciens	FALSE	FALSE
S_Leptotrichia_shahii	FALSE	FALSE
G_Bradyrhizobium	FALSE	FALSE
S_Capnocytophaga_granulosa	FALSE	FALSE
S_Lachnoanaerobaculum_orale	FALSE	FALSE
S_Peptostreptococcus_stomatis	FALSE	FALSE
F_Opitutaceae	FALSE	FALSE
G_Hymenobacter	FALSE	FALSE
S_Pseudomonas_luteola	FALSE	FALSE
O_Bacillales	FALSE	FALSE
G_Rhodococcus	FALSE	FALSE
G_Thioprofundum	FALSE	FALSE
F_Yersiniaceae	FALSE	FALSE
G_Kaistella	FALSE	FALSE
F_Phyllobacteriaceae	FALSE	FALSE
S_Chryseobacterium_salivictor	FALSE	FALSE
S_Sphingobacterium_faecium	FALSE	FALSE
S_Flaviflagellibacter_deserti	FALSE	FALSE
S_Kocuria_varians	FALSE	FALSE
S_Alloprevotella_tannerae	FALSE	FALSE
S_Rothia_dentocariosa	FALSE	FALSE
G_Herbaspirillum	FALSE	FALSE
C_Alphaproteobacteria	FALSE	FALSE
S_Bdellovibrio_bacteriovorus	FALSE	FALSE
G_Saccharopolyspora	FALSE	FALSE
S_Stenotrophomonas_tumulicola	FALSE	FALSE
S_Cutibacterium_granulosum	FALSE	FALSE
S_Streptococcus_thermophilus	FALSE	FALSE
S_Euzebya_tangerina	FALSE	FALSE
S_Luteitalea_pratensis	FALSE	FALSE
S_Macrococcus_caseolyticus	FALSE	FALSE
G_Pediococcus	FALSE	FALSE
O_Lactobacillales	FALSE	FALSE
S_Cardiobacterium_hominis	FALSE	FALSE
S_Cupriavidus_metallidurans	FALSE	FALSE
S_Schaalia_odontolytica	FALSE	FALSE
S_Prevotella_melaninogenica	FALSE	FALSE
S_Brevundimonas_terrae	FALSE	FALSE
S_Capnocytophaga_ochracea	FALSE	FALSE
G_Magnetospirillum	FALSE	FALSE
S_Anaerostipes_hadrus	FALSE	FALSE
S_Variovorax_soli	FALSE	FALSE
G_Mycetocola	FALSE	FALSE
G_Epilithonimonas	FALSE	FALSE
S_Pseudomonas_stutzeri	FALSE	FALSE
S_Quadrisphaera_granulorum	FALSE	FALSE
S_Stenotrophomonas_rhizophila	FALSE	FALSE
G_Pseudoxanthomonas	FALSE	FALSE
G_Paenochrobactrum	FALSE	FALSE
S_Pedobacter_solisilvae	FALSE	FALSE
G_Leuconostoc	FALSE	FALSE
S_Prevotella_buccae	FALSE	FALSE
S_Lacticaseibacillus_paracasei	FALSE	FALSE
F_Chromatiaceae	FALSE	FALSE
O_Rhodospirillales	FALSE	FALSE
G_Elizabethkingia	FALSE	FALSE
S_[Eubacterium]_brachy	FALSE	FALSE
S_Propionibacterium_acidifaciens	FALSE	FALSE
S_Anaerococcus_nagyae	FALSE	FALSE
G_Halopseudomonas	FALSE	FALSE
S_Peptostreptococcus_anaerobius	FALSE	FALSE
S_Pseudomonas_cichorii	FALSE	FALSE
F_Enterococcaceae	FALSE	FALSE
S_Aquabacterium_commune	FALSE	FALSE
S_Deinococcus_terrestris	FALSE	FALSE
S_Rhabdothermincola_sediminis	FALSE	FALSE
O_Solirubrobacterales	FALSE	FALSE
S_Pseudochrobactrum_kiredjianiae	FALSE	FALSE
O_Micrococcales	FALSE	FALSE
F_Bacteroidaceae	FALSE	FALSE
G_Bacillus	FALSE	FALSE
S_Aliihoeflea_aestuarii	FALSE	FALSE
G_Pantoea	FALSE	FALSE
O_Chromatiales	FALSE	FALSE
S_Prevotella_stercorea	FALSE	FALSE
S_Flavobacterium_cerinum	FALSE	FALSE
S_Actinomyces_israelii	FALSE	FALSE
F_Caulobacteraceae	FALSE	FALSE
G_Pandoraea	FALSE	FALSE
F_Pasteurellaceae	FALSE	FALSE
G_Anoxybacillus	FALSE	FALSE
O_Sphingomonadales	FALSE	FALSE
G_Latilactobacillus	FALSE	FALSE
S_Dialister_invisus	FALSE	FALSE
S_Neisseria_mucosa	FALSE	FALSE
G_Beijerinckia	FALSE	FALSE
G_Glutamicibacter	FALSE	FALSE
G_Lactococcus	FALSE	FALSE
S_Veillonella_atypica	FALSE	FALSE
S_Aeribacillus_composti	FALSE	FALSE
S_Moraxella_osloensis	FALSE	FALSE
S_Staphylococcus_saprophyticus	FALSE	FALSE
S_Prevotella_nigrescens	FALSE	FALSE
S_Kytococcus_sedentarius	FALSE	FALSE
S_Sulfurifustis_variabilis	FALSE	FALSE
S_Sphingobacterium_psychroaquaticum	FALSE	FALSE
S_Chelativorans_multitrophicus	FALSE	FALSE
S_Pseudomonas_fragi	FALSE	FALSE
G_Capnocytophaga	FALSE	FALSE
S_Williamsia_marianensis	FALSE	FALSE
S_Flavobacterium_viscosum	FALSE	FALSE
S_Corynebacterium_kroppenstedtii	FALSE	FALSE
S_Selenomonas_artemidis	FALSE	FALSE
F_Pseudonocardiaceae	FALSE	FALSE
S_Mediterraneibacter_[Ruminococcus]_gnavus	FALSE	FALSE
S_Acinetobacter_movanagherensis	FALSE	FALSE
S_Elizabethkingia_anophelis	FALSE	FALSE
S_Pseudomonas_viridiflava	FALSE	FALSE
S_Pseudonocardia_halophobica	FALSE	FALSE
S_Peptidiphaga_gingivicola	FALSE	FALSE
S_Streptococcus_sanguinis	FALSE	FALSE
S_Pseudolabrys_taiwanensis	FALSE	FALSE
S_Chryseobacterium_balustinum	FALSE	FALSE
S_Pedobacter_jejuensis	FALSE	FALSE
S_Fimbriimonas_ginsengisoli	FALSE	FALSE
G_Curtobacterium	FALSE	FALSE
S_Oribacterium_sinus	FALSE	FALSE
G_Hydrogenophaga	FALSE	FALSE
F_Flavobacteriaceae	FALSE	FALSE
S_Flavobacterium_vireti	FALSE	FALSE
F_Vicinamibacteraceae	FALSE	FALSE
S_Bacteroides_reticulotermitis	FALSE	FALSE
G_Pseudomonas	TRUE	TRUE
S_Cutibacterium_acnes	TRUE	TRUE
G_Janthinobacterium	TRUE	FALSE
G_Paeniglutamicibacter	TRUE	FALSE
G_Flavobacterium	TRUE	FALSE
G_Acinetobacter	TRUE	FALSE
F_Micrococcaceae	TRUE	FALSE
G_Massilia	TRUE	FALSE
F_Comamonadaceae	TRUE	FALSE
S_Undibacterium_oligocarboniphilum	TRUE	FALSE
S_Lactobacillus_jensenii	FALSE	FALSE
G_Gardnerella	FALSE	FALSE
G_Neisseria	FALSE	FALSE
S_Finegoldia_magna	FALSE	FALSE
S_Prevotella_timonensis	FALSE	FALSE
S_Lactobacillus_gasseri	FALSE	FALSE
S_Corynebacterium_pyruviciproducens	FALSE	FALSE
S_Porphyromonas_endodontalis	FALSE	FALSE
G_Anaerococcus	FALSE	FALSE
G_Lactobacillus	FALSE	FALSE
S_Prevotella_buccalis	FALSE	FALSE
S_Faecalibacterium_prausnitzii	FALSE	FALSE
G_Porphyromonas	FALSE	FALSE
G_Staphylococcus	FALSE	FALSE
S_Alloscardovia_omnicolens	FALSE	FALSE
S_Anaerococcus_rubeinfantis	FALSE	FALSE
S_Tyzzerella_nexilis	FALSE	FALSE
S_Akkermansia_muciniphila	FALSE	FALSE
S_Lawsonella_clevelandensis	FALSE	FALSE
S_Campylobacter_ureolyticus	FALSE	FALSE
S_Veillonella_dispar	FALSE	FALSE
S_Phocaeicola_vulgatus	FALSE	FALSE
F_Oscillospiraceae	FALSE	FALSE
S_Anaerococcus_vaginalis	FALSE	FALSE
S_Winkia_neuii	FALSE	FALSE
S_Corynebacterium_tuberculostearicum	FALSE	FALSE
C_Gammaproteobacteria	FALSE	FALSE
S_Peptoniphilus_lacrimalis	FALSE	FALSE
S_Dialister_propionicifaciens	FALSE	FALSE
O_Eubacteriales	FALSE	FALSE
